Take the last letters of each words in "Skyler Oliver Cristy Sierra" and concatenate them.,The last letter of "Skyler" is "r".The last letter of "Oliver" is "r".The last letter of "Cristy" is "y".The last letter of "Sierra" is "a".So the final answer is "rrya". Therefore the answer is "rrya".
Take the last letters of each words in "Irving Hans Moses Nicole" and concatenate them.,The last letter of "Irving" is "g".The last letter of "Hans" is "s".The last letter of "Moses" is "s".The last letter of "Nicole" is "e".So the final answer is "g s s e". Therefore the answer is "g s s e".
Take the last letters of each words in "June Robin Josie Bo" and concatenate them.,The last letter of "June" is "e".The last letter of "Robin" is "n".The last letter of "Josie" is "e".The last letter of "Bo" is "o".So we have "e" "n" "e" and "o". We can concatenate them to get "eneo". Therefore the answer is "eneo".
Take the last letters of each words in "Raymundo Jonathon Lexi Rony" and concatenate them.,The last letter of "Raymundo" is "o".The last letter of "Jonathon" is "n".The last letter of "Lexi" is "i".The last letter of "Rony" is "y".So the final answer is "oniy". Therefore the answer is "oniy".
Take the last letters of each words in "Guadalupe Ebony Wil Luke" and concatenate them.,The last letter of "Guadalupe" is "e".The last letter of "Ebony" is "y".The last letter of "Wil" is "l".The last letter of "Luke" is "e".So the final answer is "eyle". Therefore the answer is "eyle".
Take the last letters of each words in "Justin Neal Jt Lucia" and concatenate them.,The last letter of "Justin" is "n".The last letter of "Neal" is "l".The last letter of "Jt" is "t".The last letter of "Lucia" is "a".So the final answer would be "nlta". Therefore the answer is "nlta".
Take the last letters of each words in "Williams Reza Ashton Lillian" and concatenate them.,The last letter of "Williams" is "s". The last letter of "Reza" is "a". The last letter of "Ashton" is "n". The last letter of "Lillian" is "n". So the final answer would be "s-a-n-n". Therefore the answer is "sann".
Take the last letters of each words in "Buddy Violet Johana Tina" and concatenate them.,The last letter of the first word is "y".The last letter of the second word is "t".The last letter of the third word is "a".The last letter of the fourth word is "a".So the final answer is "ytaa". Therefore the answer is "ytaa".
Take the last letters of each words in "Cat Alisha Ramon Norberto" and concatenate them.,The last letter of "Cat" is "t".The last letter of "Alisha" is "a".The last letter of "Ramon" is "n".The last letter of "Norberto" is "o".So the final answer is "tano". Therefore the answer is "tano".
Take the last letters of each words in "Lucky Mireya Jj Kc" and concatenate them.,The last letter of "Lucky" is "y".The last letter of "Mireya" is "a".The last letter of "Jj" is "j".The last letter of "Kc" is "c".So we have "yajc". Therefore the answer is "yajc".
Take the last letters of each words in "Garry Arielle Elba Rodney" and concatenate them.,The last letter of "Garry" is "y".The last letter of "Arielle" is "e".The last letter of "Elba" is "a".The last letter of "Rodney" is "y".So the final answer is "yeay". Therefore the answer is "yeay".
Take the last letters of each words in "Bernard Lidia Sebastian Judy" and concatenate them.,The last letter of "Bernard" is "d".The last letter of "Lidia" is "a".The last letter of "Sebastian" is "n".The last letter of "Judy" is "y".So the final answer is "dany". Therefore the answer is "dany".
Take the last letters of each words in "Kristine Van Marisol Preston" and concatenate them.,The last letter of "Kristine" is "e".The last letter of "Van" is "n".The last letter of "Marisol" is "l".The last letter of "Preston" is "n".So the final answer is "enln". Therefore the answer is "enln".
Take the last letters of each words in "Kristopher Deb Jake Tammy" and concatenate them.,The last letter of "Kristopher" is "r".The last letter of "Deb" is "b".The last letter of "Jake" is "e".The last letter of "Tammy" is "y".So the final answer is "rbey". Therefore the answer is "rbey".
Take the last letters of each words in "Jeannie Kenneth Porfirio Ezequiel" and concatenate them.,The last letter of "Jeannie" is "e".The last letter of "Kenneth" is "h".The last letter of "Porfirio" is "o".The last letter of "Ezequiel" is "l".So the final answer is "ehol". Therefore the answer is "ehol".
Take the last letters of each words in "Alain Jerome Kristina Ida" and concatenate them.,The last letter of "Alain" is "n".The last letter of "Jerome" is "e".The last letter of "Kristina" is "a".The last letter of "Ida" is "a".So the final answer is "neaa". Therefore the answer is "neaa".
Take the last letters of each words in "Sabrina Pete Mary La" and concatenate them.,The last letter of "Sabrina" is "a".The last letter of "Pete" is "e".The last letter of "Mary" is "y".The last letter of "La" is "a".So the final answer is "aeya". Therefore the answer is "aeya".
Take the last letters of each words in "Myriam José Cecy Faisal" and concatenate them.,The last letter of "Myriam" is "m".The last letter of "José" is "é".The last letter of "Cecy" is "y".The last letter of "Faisal" is "l".So the final answer would be "méyl". Therefore the answer is "méyl".
Take the last letters of each words in "Marshall Herman Faye Grant" and concatenate them.,The last letter of "Marshall" is "l".The last letter of "Herman" is "n".The last letter of "Faye" is "e".The last letter of "Grant" is "t".So the answer is "lnet". Therefore the answer is "lnet".
Take the last letters of each words in "Axel Osvaldo Mildred Sylvia" and concatenate them.,The last letter of "Axel" is "l".The last letter of "Osvaldo" is "o".The last letter of "Mildred" is "d".The last letter of "Sylvia" is "a".So the final answer is "loda". Therefore the answer is "loda".
Take the last letters of each words in "Camilo Becky Eliza Rebecca" and concatenate them.,The last letter of "Camilo" is "o".The last letter of "Becky" is "y".The last letter of "Eliza" is "a".The last letter of "Rebecca" is "a".So the final answer is "oyaa". Therefore the answer is "oyaa".
Take the last letters of each words in "Allyson Mara Jo Toni" and concatenate them.,The last letter of "Allyson" is "n".The last letter of "Mara" is "a".The last letter of "Jo" is "o".The last letter of "Toni" is "i".So the final answer is "n-a-o-i" (without the hyphens). Therefore the answer is "naoi".
Take the last letters of each words in "Jodi Judi Nia Raj" and concatenate them.,The last letter of "Jodi" is "i".The last letter of "Judi" is "i".The last letter of "Nia" is "a".The last letter of "Raj" is "j".So the final answer would be "iiaj". Therefore the answer is "iiaj".
Take the last letters of each words in "Nick Ada Stephany Suzie" and concatenate them.,The last letter of "Nick" is "k".The last letter of "Ada" is "a".The last letter of "Stephany" is "y".The last letter of "Suzie" is "e".Therefore the answer is "kaye". Therefore the answer is "kaye".
Take the last letters of each words in "Chava Rosalia Kurt Linda" and concatenate them.,The last letter of "Chava" is "a".The last letter of "Rosalia" is "a".The last letter of "Kurt" is "t".The last letter of "Linda" is "a".So the final answer is "aata". Therefore the answer is "aata".
Take the last letters of each words in "Mel Josh Alejandra Harley" and concatenate them.,The last letter of the first word is "l".The last letter of the second word is "h".The last letter of the third word is "a".The last letter of the fourth word is "y".So the final answer is "lhay". Therefore the answer is "lhay".
Take the last letters of each words in "Marlen Sonja Anita Dale" and concatenate them.,The last letter of "Marlen" is "n".The last letter of "Sonja" is "a".The last letter of "Anita" is "a".The last letter of "Dale" is "e".So the final answer is "naae". Therefore the answer is "naae".
Take the last letters of each words in "Martin Sage Tanisha Rick" and concatenate them.,The last letter of "Martin" is "n". The last letter of "Sage" is "e". The last letter of "Tanisha" is "a". The last letter of "Rick" is "k". So the final answer would be "neak". Therefore the answer is "neak".
Take the last letters of each words in "Antonio Ronald Ken Rachael" and concatenate them.,The last letter of "Antonio" is "o". The last letter of "Ronald" is "d". The last letter of "Ken" is "n". The last letter of "Rachael" is "l". So the final answer is "odnl". Therefore the answer is "odnl".
Take the last letters of each words in "Charles Emilio Vivek Steve" and concatenate them.,The last letter of "Charles" is "s". The last letter of "Emilio" is "o". The last letter of "Vivek" is "k". The last letter of "Steve" is "e". So the final answer is "soke". Therefore the answer is "soke".
Take the last letters of each words in "Jesse Roderick Travis Rita" and concatenate them.,The last letter of "Jesse" is "e".The last letter of "Roderick" is "k".The last letter of "Travis" is "s".The last letter of "Rita" is "a".So we can concatenate these letters to get "eksa". Therefore the answer is "eksa".
Take the last letters of each words in "Suzanne Julissa Chino America" and concatenate them.,The last letter of "Suzanne" is "e".The last letter of "Julissa" is "a".The last letter of "Chino" is "o".The last letter of "America" is "a".So the final answer is "eaoa". Therefore the answer is "eaoa".
Take the last letters of each words in "Rosario Manoj Adolfo Reina" and concatenate them.,The last letter of "Rosario" is "o".The last letter of "Manoj" is "j".The last letter of "Adolfo" is "o".The last letter of "Reina" is "a".So the final answer is "ojoa". Therefore the answer is "ojoa".
